filename, Aphids, Early Blight, Healthy Leaf-, Leaf Curl, Leafhoppers and Jassids, Molds, Mosaic Virus, Septoria, bactarial canker, bacterial spot, flea beetle, late_blight, leafminer, powedry_mildew, yellow curl virus
161Tomato_leaf_molds_jpg.rf.82a40c5cce4ee36de1e716f75533ae96.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1080potato_early_blight_jpg.rf.8410ca0851b45108f7374f75c61addc4.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1220potato_early_blight_jpg.rf.8455ad476e8d1777a9fd9fc33c7a9859.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
24Tomato_Mosaic_jpg.rf.831ef72b828655cbf2d3a75985230a77.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
385Tomato_late_blight_jpg.rf.85474b3560b723f278b45f2aad438f75.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
121Tomato_leaf_molds_jpg.rf.842993ca6c1276429857c159ad7ecc4c.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
41Tomato_Septoria_jpg.rf.83a68cb9a29b57e87c8e703614d31db5.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
309Potato_Septoria_jpg.rf.841a704e91f028805bca06af3626be07.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
3900potato_early_blight_jpg.rf.8379d95af73e51fb32f98811ab88a892.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
3460potato_early_blight_jpg.rf.854c9bc9144661cd341235efa3ff3402.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
83Tomato_leaf_molds_jpg.rf.83c42840044f14459e320ff7140110dc.jpg, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
790potato_early_blight_jpg.rf.82a2661feca1952e135a212ffe879d6d.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9Potato_Septoria_jpg.rf.8467b7bc86b23e89075bfc55356cc06f.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
102Tomato_leaf_molds_jpg.rf.847d5083186687d654ae168811cf636e.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
8Citrus_BacterialSpot_jpg.rf.8387a2287394547834e9a2acea6d183a.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
19Tomato_leaf_molds_jpg.rf.85257cb22ec36abce7501d8316d05612.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
flea_beetle_eggplant_ad_jb_jpg.rf.831cc4691aa5b608d842b5bf6d19b16f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
leaf-miner-worm-plant-leaf-leaf-miner-worm-plant-leaf-alternate-host-insect-nature-146291524_jpg.rf.830756c451d4d3d27782f9f5ccdedbd4.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Leveillula-taurica-affected-tomato-plant-1-300x225_jpg.rf.836664436548f6b661bc34b0b08f8837.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
32Apple_Mosaic_jpg.rf.832f1e75e2fc06e9406cc64f70a18ed0.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
potato-aphids_jpg.rf.85110c40d3041606f96bbb51c5e6016f.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
107Potato_late_blight_jpg.rf.82e4b5675d88c73c6bdf34115beb47dd.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
306tomato_early_blight_jpg.rf.84ca80b666f53acb7f2554524617e170.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
TOLM1-1-_jpg.rf.849daa12ef787d43d414bc2d3f31d30b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
15tomato_early_blight_jpg.rf.84b77f158d59ef83d28c50adf849b466.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5860potato_early_blight_jpg.rf.856424ba1e703ddc1ac1d78618e506a2.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3Watermelon_Mosaic_jpg.rf.8582421c21197471dc2a24c1f4e2f336.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
5_jpg.rf.858d08b386e798830002c923e4188153.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
238Potato_late_blight_jpg.rf.85b07c5a7de2df88349f6df14b1d5781.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
IMG_5146_jpg.rf.857cd09066a730b0f0558fb5abd80f30.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
90Tomato_leaf_molds_jpg.rf.856c6b975234d7147346fa7bc23f36ac.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
22Apple_Mosaic_jpg.rf.85b54548c7b86322f549041e0c875938.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
72Apple_Mosaic_jpg.rf.85d474ff8e25fe58a67b22e07aa717e4.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
